campaign_id,campaign_name,created_date,status,parsed_geo,parsed_channel,objective,product,audience,period,offer,taxonomy_compliant,taxonomy_recovered,parse_notes,effective_channel,channel_source_conflict,_ingested_at
C001,BR_email_reactivation_casino_dormant_2024Q1_bonus50,2024-01-05,active,BR,email,reactivation,casino,dormant,2024Q1,bonus50,true,false,nome 100% conforme ao padrão oficial,email,false,2026-07-31T12:25:07.361Z
C002,PT-push-acquisition-sports-new-2024Q1-freebet,2024-01-10,active,PT,push,acquisition,sports,new,2024Q1,freebet,false,true,7/7 segmentos recuperados via correspondência de vocabulário (formato/ordem fora do padrão),push,false,2026-07-31T12:25:07.361Z
C003,br_EMAIL_Reactivation_Casino_Dormant_2024Q1_BONUS50,2024-02-01,active,BR,email,reactivation,casino,dormant,2024Q1,bonus50,false,true,7/7 segmentos recuperados via correspondência de vocabulário (formato/ordem fora do padrão),push,true,2026-07-31T12:25:07.361Z
C004,BR_email_reactivation_2024Q1_bonus50,2024-02-03,active,BR,email,reactivation,,,2024Q1,bonus50,false,true,"5/7 segmentos recuperados via correspondência de vocabulário (formato/ordem fora do padrão); segmentos não encontrados: ['product', 'audience']",email,false,2026-07-31T12:25:07.361Z
C005,BR_push_reactivaton_casino_dorment_2024Q1_bonus_50,2024-02-10,paused,BR,push,reactivation,casino,dormant,2024Q1,,false,true,"6/7 segmentos recuperados via correspondência de vocabulário (formato/ordem fora do padrão); segmentos não encontrados: ['offer']; tokens ignorados (não reconhecidos): ['bonus', '50']",push,false,2026-07-31T12:25:07.361Z
C006,BR_email_2024Q1__both_crosssell___vip_freespins_v2_FINAL_,2024-03-01,active,BR,email,crosssell,both,vip,2024Q1,freespins,false,true,"7/7 segmentos recuperados via correspondência de vocabulário (formato/ordem fora do padrão); tokens ignorados (não reconhecidos): ['v2', 'final']",email,false,2026-07-31T12:25:07.361Z
C007,,2023-08-15,archived,,,,,,,,false,false,nome de campanha vazio - requer categorização manual,email,false,2026-07-31T12:25:07.361Z
C008,Reativacao Janeiro,2023-12-20,archived,,,,,,,,false,false,nenhum segmento reconhecível (não segue o padrão nem parcialmente) - requer categorização manual,sms,false,2026-07-31T12:25:07.361Z
C009,BR_sms_retention_sports_active_2024Q1_cashback,2024-01-15,active,BR,sms,retention,sports,active,2024Q1,cashback,true,false,nome 100% conforme ao padrão oficial,sms,false,2026-07-31T12:25:07.361Z
C010,PT_email_acquisition_casino_new_2024Q1_bonus100,2024-01-20,active,PT,email,acquisition,casino,new,2024Q1,bonus100,true,false,nome 100% conforme ao padrão oficial,email,false,2026-07-31T12:25:07.361Z
C011,BR_push_reactivation_sports_dormant_2024Q1_freebet,2024-02-05,active,BR,push,reactivation,sports,dormant,2024Q1,freebet,true,false,nome 100% conforme ao padrão oficial,push,false,2026-07-31T12:25:07.361Z
C012,_email_AO__vip_crosssell_both_2024Q1_none_,2024-02-20,active,AO,email,crosssell,both,vip,2024Q1,none,false,true,7/7 segmentos recuperados via correspondência de vocabulário (formato/ordem fora do padrão),email,false,2026-07-31T12:25:07.361Z
